impl,edge,seed,epochs,precision,oom,bmu_s_per_ep,upd_s_per_ep,total_wall_s,somoclu_s_per_ep_measured,dropout_edge
medsom,32,42,20,fp32,False,,,752.52,,
medsom,64,42,20,fp32,False,,,3955.56,,
medsom,128,42,20,fp32,False,,,15855.119999999999,,
medsom,256,42,20,fp32,False,,,64197.6,,
medsom,512,42,20,fp32,True,,,,,512.0
sbsom-bin,32,0,20,fp16,False,2.2855,0.032,47.77,,
sbsom-bin,32,1,20,fp16,False,2.29,0.032,47.86,,
sbsom-bin,32,2,20,fp16,False,2.291,0.032,47.88,,
sbsom-bin,32,3,20,fp16,False,2.291,0.032,47.88,,
sbsom-bin,32,4,20,fp16,False,2.291,0.032,47.88,,
sbsom-bin,64,0,20,fp16,False,3.4255000000000004,0.037,71.67,,
sbsom-bin,64,1,20,fp16,False,3.432,0.037,71.8,,
sbsom-bin,64,2,20,fp16,False,3.432,0.037,71.8,,
sbsom-bin,64,3,20,fp16,False,3.4325,0.037,71.81,,
sbsom-bin,64,4,20,fp16,False,3.441,0.037,71.98,,
sbsom-bin,128,0,20,fp16,False,9.639,0.0865,198.72,,
sbsom-bin,128,1,20,fp16,False,9.6375,0.0865,198.8,,
sbsom-bin,128,2,20,fp16,False,9.628,0.0865,198.52,,
sbsom-bin,128,3,20,fp16,False,9.629999999999999,0.0865,198.63,,
sbsom-bin,128,4,20,fp16,False,9.627500000000001,0.0865,198.49,,
sbsom-bin,256,0,20,fp16,False,41.5945,0.261,844.79,,
sbsom-bin,256,1,20,fp16,False,41.58,0.261,844.43,,
sbsom-bin,256,2,20,fp16,False,41.608,0.261,845.04,,
sbsom-bin,256,3,20,fp16,False,41.6165,0.261,845.1,,
sbsom-bin,256,4,20,fp16,False,41.626,0.261,845.4,,
sbsom-bin,512,0,20,fp16,False,184.8345,0.962,3727.45,,
sbsom-bin,512,1,20,fp16,False,184.84,0.959,3727.47,,
sbsom-bin,512,2,20,fp16,False,184.8065,0.959,3726.87,,
sbsom-bin,512,3,20,fp16,False,184.7765,0.9585000000000001,3726.22,,
sbsom-bin,512,4,20,fp16,False,184.79649999999998,0.9585000000000001,3726.57,,
sbsom-float,32,0,20,fp16,False,4.796,0.041499999999999995,98.18,,
sbsom-float,32,1,20,fp16,False,4.7915,0.041499999999999995,98.08,,
sbsom-float,32,2,20,fp16,False,4.7675,0.041499999999999995,97.59,,
sbsom-float,32,3,20,fp16,False,4.7675,0.041499999999999995,97.59,,
sbsom-float,32,4,20,fp16,False,4.767,0.041499999999999995,97.59,,
sbsom-float,64,0,20,fp16,False,8.3795,0.0475,170.96,,
sbsom-float,64,1,20,fp16,False,8.3875,0.0475,171.11,,
sbsom-float,64,2,20,fp16,False,8.3875,0.0475,171.11,,
sbsom-float,64,3,20,fp16,False,8.3875,0.0475,171.11,,
sbsom-float,64,4,20,fp16,False,8.3875,0.0475,171.11,,
sbsom-float,128,0,20,fp16,False,26.677999999999997,0.0995,539.73,,
sbsom-float,128,1,20,fp16,False,26.681,0.0995,539.77,,
sbsom-float,128,2,20,fp16,False,26.68,0.0995,539.81,,
sbsom-float,128,3,20,fp16,False,26.6815,0.0995,539.86,,
sbsom-float,128,4,20,fp16,False,26.681,0.0995,539.85,,
sbsom-float,256,0,20,fp16,False,112.2665,0.274,2258.48,,
sbsom-float,256,1,20,fp16,False,112.261,0.274,2258.34,,
sbsom-float,256,2,20,fp16,False,112.26400000000001,0.274,2258.3,,
sbsom-float,256,3,20,fp16,False,112.25999999999999,0.274,2258.36,,
sbsom-float,256,4,20,fp16,False,112.252,0.274,2258.21,,
sbsom-float,512,0,20,fp16,False,478.6705,0.9720000000000001,9604.31,,
sbsom-float,512,1,20,fp16,False,478.75100000000003,0.975,9606.03,,
sbsom-float,512,2,20,fp16,False,478.596,0.975,9602.92,,
sbsom-float,512,3,20,fp16,False,478.62399999999997,0.975,9603.5,,
sbsom-float,512,4,20,fp16,False,479.58549999999997,0.976,9622.77,,
somoclu,32,0,20,fp32-cpu,False,,,4058.0,202.9,
somoclu,64,0,20,fp32-cpu,False,,,25030.0,1251.5,
somoclu,128,0,20,fp32-cpu,False,,,123370.0,6168.5,
somoclu,256,0,20,fp32-cpu,False,,,553700.0,27685.0,
ssom-feat,32,0,20,fp16,False,0.477,0.0235,13.14,,
ssom-feat,32,1,20,fp16,False,0.47750000000000004,0.0245,13.14,,
ssom-feat,32,2,20,fp16,False,0.47750000000000004,0.0245,13.16,,
ssom-feat,32,3,20,fp16,False,0.477,0.023,13.13,,
ssom-feat,32,4,20,fp16,False,0.477,0.025500000000000002,13.17,,
ssom-feat,64,0,20,fp16,False,2.021,0.08549999999999999,45.26,,
ssom-feat,64,1,20,fp16,False,2.0225,0.086,45.31,,
ssom-feat,64,2,20,fp16,False,2.023,0.08549999999999999,45.32,,
ssom-feat,64,3,20,fp16,False,2.0235,0.087,45.35,,
ssom-feat,64,4,20,fp16,False,2.0235,0.086,45.34,,
ssom-feat,128,0,20,fp16,False,8.7205,0.45899999999999996,186.79,,
ssom-feat,128,1,20,fp16,False,8.7215,0.461,186.83,,
ssom-feat,128,2,20,fp16,False,8.722,0.4605,186.76,,
ssom-feat,128,3,20,fp16,False,8.722,0.45899999999999996,186.79,,
ssom-feat,128,4,20,fp16,False,8.7215,0.45949999999999996,186.8,,
ssom-feat,256,0,20,fp16,False,63.8085,3.0095,1339.48,,
ssom-feat,256,1,20,fp16,False,63.807500000000005,3.0085,1339.44,,
ssom-feat,256,2,20,fp16,False,63.803999999999995,3.009,1339.39,,
ssom-feat,256,3,20,fp16,False,63.7875,3.0065,1339.09,,
